MESSAGE,RESPONSE
"Under hdb foreign wife scheme, the wife has no right to the house. How to protect her monetary investment in the house?","In the event of a divorce, the house will form part of the matrimonial assets and the wife may be entitled to her fair share of the matrimonial assets notwithstanding the fact that she is not named as an owner."
"Based on a non consummated marriage, what is the process to annul my marriage? ",You can move to nullify the marriage. You can find out the process from the Family Court website.
I need lawyer advice for divource,You may want to consider approaching the Legal Aid Bureau for assistance (http://www.lab.gov.sg/).
"Both my wife and I converted to Singapore citizen already, can i divorce in my home country?","This depends on the law in China, whether it is possible to divorce in China out of a marriage that was conducted overseas. We are not familiar with Chinese law."
"if a singaporean buys a resale hdb flat then marries a foreigner ,is foreign spouse entitled to hdb share after divorce?","If the HDB property is used as the matrimonial home, it will form part of matrimonial property. If so, it will form part of the pool of assets which the Court will divide between the parties after divorce."
i have a divorce case and my children is with my wife and she has block all means of communication and access to them. I need help as I have no means to pay a lawyer. I am not residing in Singapore as I left Singapore due to constant threat of my in laws,You may wish to seek free legal aid at the Legal Aid Bureau. You can see their services here:http://www.lab.gov.sg/content/dam/minlaw/lab/Eligibility/Legal%20Aid%20Bureau%20-%20Flyer.pdfPlease note that you will have to pass their means and merits tests.It is preferable that you return to Singapore to deal with these matters.
I am in the middle of divorce process and I couldn't possibly afford to pay my lawyer anymore. Help advise please...,You may wish to seek help at the Legal Aid Bureau to see if they are able to assist. You may find a PDF brochure of their services and requirements here: http://www.lab.gov.sg/content/dam/minlaw/lab/Eligibility/Legal%20Aid%20Bureau%20-%20Flyer.pdfPlease take note that you will need to pass a means test and a merits test.
Can you tell me the general steps in getting a divorce?,"If there is no contest to the divorce and all documents are duly confirmed and filed, then the matter will be set down for hearing before a Judge. Once the Judge is satisfied that there is an irretrievable breakdown of the marriage, the Judge will gramt an Interim Judgment (Divorce).This Interim Judgment will be made final after all ancillary issues relating to custody, care and control, assess, maintenance, division of matrimonial assets have been settled. Generally, it takes about three months after the issuance of the Interim Judgment for the Certificate of Making Interim Judgment Final will be issued. Before this is issued, the parties cannot entered into another marriage. If the divorce is contested, parties will be required to attend a court hearing to present their sides of the story and for the Judge to adjudicate as to who is right and wrong and whether to grant the divorce."
What should I do if I am sued for divorce?,"If you are sued for divorce, you will be served with the Writ of Divorce with other court documents. It is important that you read all documents carefully. If you do not understand anything, it is recommended that you consult with a lawyer. It is important that you do not sign anything without understanding the consequences, for it could result in unintended outcomes. The first major decision you need to make is whether you wish to contest the divorce. Contesting the divorce simply means that you object to the divorce. If you wish to contest this, you will need to state so in the Memorandum of Appearance and then file a Defence and perhaps a counterclaim. Even if you decide not to contest, you can still challenge your spouse's proposals for custody, care and control, assess, maintenance, division of matrimonial assets, and costs. It is important for you to abide by the timelines stipulated in all these documents."
How to apply for legal help for separation?,You could try applying at the Legal Aid Bureau. Their contact details are found at www.lab.gov.sg.
How do I annul my marriage?,"Reasons for annulling your marriage include the following:(a) the marriage has not been consummated due to the incapacity of either party to consummate it(b) the marriage has not been consummated due to the wilful refusal of the other spouse to consummate it(c) either party did not really consent to the marriage, for example, due to threats, mistakes or unsoundness of mind(d) mental illness rendering the person unfit for marriage(e) at the time of the marriage the wife was pregnant by some other person other than the husband"
What is the effect of annulling my marriage?,An annulment granted by the Court places you in the position you were before you were married  ? as if you have never been married before.
Usually how long will a standard divorce procedure takes and the amount that will the initiating party have to pay on legal fees? The reason for the divorce is both parties are no longer in good relationship or talking terms since 20years ago.,"The time period for the divorce depends on whether it is contested or uncontested, and whether both parties co-operate in the process. The quickest scenario is an uncontested, or simplified, divorce, where the parties have agreed on all the issues and consent to the divorce. Then, if the court finds that the marriage has irretrievably broken down, the court may grant an Interim Judgment. Final Judgment can only be granted three months thereafter. If the divorce is contested, then the outstanding issues will need to be resolved, which will lengthen the process."
My husband committed adultery. I wish to divorce. I wish to know kid custody will normally to go mother or father? Can I sell away my new EC which is less than a year with bank loan?,"There is no general rule for whether custody goes to the mother or father. The court would decide based on what is in the welfare of the child  ? and subject to that, the wishes of the parents and the child (provided he/she is old enough to express an independent opinion). The flat may be sold if the minimum occupancy period has been completed. Otherwise, the flat will have to be returned for compensation, subject to HDB? s approval."
Me and my ex-husband (Both Malaysian) were married in Singapore 6 years ago and were divorced in Malaysia. Do we need to recognize/ endorse the foreign decree in Singapore to dissolve our marriage?,"Yes; potentially, the courts may recognize your foreign decree on the grounds that you are Malaysian and the divorce judgement was hence granted by a court of your domicile, that the court exercised jurisdiction in the same way that a Singapore court would have, or that there is a real and sufficient connection between the court and you and/or your ex-husband."
"Will it be disadvantage to the person initiating a divorce when determining child custody?In other word, the person who initiate divorce is viewed unfavourably when determining child custody or worse - denied child custody","No, there is no disadvantage. The paramount concern for the court in deciding custody arrangements is the welfare of the child  ? and subject to that, the wishes of the parents and the child (provided he/she is old enough to express an independent opinion)."
I entered into a scam marriage in 2013 and both of us were arrested and sentenced. She was deported in January 2014 and since then lost contact. Now I want file for divorce and I like to know how to proceed without incurring high legal cost,"Section 11A of the Women's Charter provides that marriages of convenience (including sham marriages) registered on or after 1 October 2016 is void.??As your marriage was in 2013, your marriage would be recognised as a valid marriage and you will need to file for divorce. In order to file for a divorce in Singapore, you must prove that the marriage has irretrievably broken down. You will then have to file the writ for divorce, statement of claim and a statement of particulars in the Family Justice Courts, subject to approval."
"How can I request for a lump sum maintenance instead of monthly payments as I wanted a clean break, and not worrying that there might be changes in future.","A request can be made out to the court. As stated in section 115(1) of the Women's Charter, the court has discretion to determine if the maintenance order provides for the payment of a lump sum or such periodical payment. A lump sum payment would usually only be ordered when the husband has the financial means, for example, if he possesses valuable assets."
"If mutually agreed to divorce amicably, what is the procedure and how long it takes to complete it?","A divorce can only be filed after attending the Mandatory Parenting Programme (if applicable), and obtaining leave from Court if you have been married for less than three years. Before commencing divorce proceedings, several documents need to be filed in court. It will take anywhere from upwards of 2 months to complete the full divorce proceedings. Please visit https://www.familyjusticecourts.gov.sg/Common/Pages/Divorce.aspx for more details."
My wife and I got married in Malaysia when we were Malaysians. We have recently converted to Singapore citizens. We will be officially receiving pink ic in another 3 months. Where should we divorce?,"Per s93(1) Women's Charter, the two of you can divorce in Singapore provided at least one of you was domiciled in Singapore when proceedings commenced, or habitually resident in Singapore for a period of 3 years immediately preceding the commencement of the proceedings."
How do I get a copy of my divorce papers,You can apply to the Courts for a copy.
"im an 18 year old boy living in singapore and my parents might be going through divorce , i want to know my legal rights if they decide to divorce.","As you are under the age of 21 years, you are considered a child of a marriage. In the event of a divorce, there are two general considerations: (1) child custody, which grants the custodial parent(s) authority to make major decisions regarding the child; and (2) care and control, which is given to the parent whom the child will live with. In deciding the type of custody order, the Court will look at the best interests of the child by considering money or physical comfort, the child? s moral, religious and physical well-being, ties of affection to the parent, etc. Where necessary, the Judge may ask for social service reports or counselling sessions to assess the child? s and parents? state and the type of custody order suited for them.In general, care and control is awarded to mothers, unless the mother agrees to the father? s request, or the child is at an age where he/she is able to express clearly to the Court his/her desire to stay with the father. If the mother is found to be abusive or neglectful of her child, the Court may order an evaluation report by the Family Court counsellor before coming to a decision."
I and wife are not staying in the same house for last 8 months. Before that we were staying in same house in different rooms but we have nothing to prove it. Is it possible to go for uncontested divorce on the basis of 3 yr separation if both agree even i,Generally yes.
"my vietnam wife is not contactable by any means at all suddenly , how can i get my marriage divorce as I got married with her last year only? is there a way for me to get this done as its seems that she doesn't want this marriage at all, I tried to c","Under Singapore law, you would not be able to obtain a divorce until after 3 years after the marriage unless you can show exceptional hardship. The fact that you have lost contact with her will not be sufficient."
My wife is a thai national holding a Singapore PR. She walk out from my life since 2005 and remained un-contactable. Can I still proceed with the divorce?,Yes.
I am a Singapore citizen married to a foreign spouse. We have a 1 year old daughter. My spouse is intending to bring the child back to her home country and get a divorce in Singapore. I would like to know the procedure for contested divorce and child cust,Please see this page for more details:https://www.familyjusticecourts.gov.sg/Common/Pages/FAQs-on-Divorce.aspx
can the court grant divorce during separation?,"The Court can only grant a divorce in the following circumstances:- your spouse has committed adultery, and you find it intolerable to live with him or her- your spouse has behaved in such a way that you cannot reasonably be expected to live with him or her- your spouse has deserted you for at least two years- if your spouse agrees to the divorce, that you and your spouse have been separated for at least three years- if your spouse does not agree to the divorce, that you and your spouse have been separated for at least four years."
I am served a writ of divorce and the only claim of relief is the marriage to be dissolved. Will the court award any alimony or if the statement of particulars stated some monetary losses by the plantiff during the process of dissolution?,"Notwithstanding the contents of the writ, the Court has the power to award maintenance in appropriate cases."
"If I want to divorce my wife, and have custody of my children aged 3 & 5, do i still need to pay my wife maintenance fee, if so how much? What happened if the custody of children is under her?","If you have the custody, the court will take into account the totality of the situation to assess if you still need to pay your wife the maintenance. Factors such as your wife's financial needs and earning power will be looked at, and the court will make the decision on the quantum of the maintenance. If she gets the custody, you would normally have to pay maintenance to her."
What does it mean by 'immediately preceding the filing of the writ'?,It means right before the application of the summons.
I am married with 2 children. We applied for an ec and the top will be in October. I am.thinking of getting a divorce. Please advise what will happen to my ec and the options to keep it. I am a mulsim.,"If you apply for a divorce, the divorce will only be obtained after TOP. Your ability to retain the flat will depend on who gets custody (please see http://www.hdb.gov.sg/cs/infoweb/residential/living-in-an-hdb-flat/changing-owners-occupiers/retain-flat-following-life-events&rendermode;=preview) for more details. The division of assets will follow syariah law since you are muslim."
I have not seen my wife and son for more than 24 hours. What are the legal steps i should take to prevent a divorce? She is running away from me and remain uncountactable,The divorce can only take place if the papers are served on you and the Court finds that there is cause to order the divorce. You may want to make a police report if your son is missing.
My marriage was registered in Singapore in 2005 and I was granted divorce in USA 2015. How to get this divorce recognize?,"A foreign matrimonial decrees (e.g. a divorce) will be recognized in Singapore if it originates from a court of competent jurisdiction and is not otherwise impeached for fraud, breach of natural justice or contravention of the fundamental public policy of the forum. Thus, if a foreign court has validly pronounced that a marriage is a nullity or has terminated, you do not need to take further steps to gain recognition of your divorce."
"Can I file summon in syariah muslim law to my wife,we are not divorce. She left me and my 4yrs old because of her family?","We do not have sufficient information to assist you. Generally, if you are Muslim, then you would be able to apply for relief under Syariah law."
how much it cost to take out an application to obtain my final divorce cert,This depends on the lawyer that you approach.
"Hello, I am a Filipino housewife with 3 children and legally married to someone who is a work pass holder there in singapore, He is now with another woman and stopped supporting me and my children. Can i file charges in SG given that our marriage took place in Singapore?",You can apply for maintenance against your husband in the Family Justice Courts notwithstanding that you were married overseas.
"Would court grant divorce application even if there is no adultery, no 4 year separation, no unreasonable behavior?","The Court will grant a divorce (after 3 years of marriage) as long as it can be shown that the marriage has irretrievably broken down. On your facts, the only way for this to be shown is if there has been desertion for 2 years."
"Hi, I'm trying to find out how to force a divorce on my paternal parent. He has committed adultery, and my mother did accept him back, but his behaviour and actions have caused much distress to the family. Can family distress be used to force a divorce","You cannot force a divorce on your parents. Only the parties to a marriage can file for divorce. If your mother does apply, then she will have to show that there has been an intolerable breakdown of the marriage on the basis that:(i) your father has committed adultery and your mother finds it intolerable to live with him(ii) that your father has behaved in such a way that your mother cannot reasonably be expected to live with him;(c) that your father has deserted your mother for a continuous period of at least 2 years immediately preceding the filing of the writ;(d) that your parents have lived apart for a continuous period of at least 3 years immediately preceding the filing of the writ and your father consents to a judgment being granted;(e) that your parents to the marriage have lived apart for a continuous period of at least 4 years immediately preceding the filing of the writ."
Can I file for divorce based on 4x of physical abused?  How can I pay for legal fees if I am a homemaker?  If I rent a room with my kids during separation do I pay for it?,You may want to approach the legal aid bureau for assistance (https://www.mlaw.gov.sg/content/lab/en.html). They can assist in such cases in respect of legal fees.
Can I go through separation if I am staying in the same house with my husband and children? I cannot afford to rent.,"It is not clear what exactly your question is. If you are referring to whether you can apply for a divorce, you can do so provided that you can show that the marriage has irrevocably broken down. This can be shown in various ways and not just that you are living apart from your husband."
My husband admitted that he commit adultery and now we are living separately since June 2015. Can I file for divorce?,"There is a general bar against filing for divorce in the first three years of marriage unless you can show that you have suffered exceptional hardship during your marriage, oryour spouse has behaved with exceptional depravity ie behaved unusually bad. An affair along may not qualify. If your marriage is longer than three years, then yes."
Does hugging and holding hand with another guy consider adultery for a married woman??,"It would probably not constitute adultery. That being said, on the assumption that your query arises from a potential divorce, please note that it is sufficient that one party has behaved in such a way that the plaintiff cannot reasonably be expected to live with the defendant."
Divorced but staying in the matrimonial home until sold (joint tenency). What recourse do i have if my ex-spouse change the lock to prevent entry?,"If you are legally entitled to enter, then you can call a lock-smith to change the lock. You can also apply to Court for access or make a police report."
I do not wish to divorce but what if my husband insists,His ability to obtain a divorce (after 3 years of marriage) against your wishes will depend on whether he can satisfy the Court that the marriage to have broken down irretrievably. He will need to show that one or more of the following is true: (a) that the defendant has committed adultery and the plaintiff finds it intolerable to live with the defendant
"If a divorce based on 'unreasonable behavior' cites 'improper association' with a third party but provides NO evidence of adultery, does the court consider and treat the Defendant as an adulterer? Will the court punish the Defendant?","The Court does not ""punish"" the Defendant even if evidence is shown as Singapore adopts a no-fault divorce regime. If there is no evidence shown, then the Court may not grant the divorce."
is there a possibility to obtain a order copy of divorce case approved at the year 2011 in case of original copy lost issue?,Yes. You can apply at the Courts.
I'm a homemaker for 27yrs. What course of action can I take if my husband decides to empty(or hide) our joint account savings by transferring it to our children' joint accounts with him? What can I do if he purchase properties under their names? A,"If you intend to divorce him, you can apply for relief in the family courts."
"If we can file a divorce outside of Singapore, ??which country of divorce law that we are bound to? Is my spouse still obligated to the provision of the women's charter to pay the wife maintenance?","It depends on the country and the law they use to determine which law is applicable. Usually, family matters are governed by the country of domicile. If you and your wife have long been resident in Singapore, you are likely to be domiciled in Singapore and hence Singapore family law will govern."
My husband and I got married in Singapore. I am a SPR and my husband is a Spanish expatriate holding a work visa. Can we file a divorce outside of Singapore in the event of an unwanted situation surface?,There is no specific requirement that you file for divorce in Singapore. Whether the foreign court will agree to hear your divorce depends on the foreign court in question.
"My husband and i have signed a deed of separation and now he doesn't want to pay at all. should i file the deed of separation in court? i have been to family court and was told they do not enforce the deed of separation and if i proceed with them, i","You should seek a family lawyer for advice. If the court has indicated they will not enforce it, then it is probably better for you to seek proceedings under the Women's Charter."
"If I get a PI and confirm my husband's adultery, can we go for divorce straight without seperation?",You do not need to show separation if you can show that your husband has committed adultery and you find it intolerable to live with him.
"If I have proof of lovey dovey messages between my husband and a lady, is it sufficient evidence to file for divorce?","Such messages are generally insufficient to prove adultery, which is a ground for divorce. You will probably require stronger evidence than that if that is the ground you wish to rely on."
"I need to appeal on the court order of my divorce  case, what should I do?",You will need to file a notice of appeal. You can contact the State Court at Tel: (65) 6435 5110 for assistance. Please note that there are strict time limits for you to file your notice of appeal.
Im a not from singapore and my husband is from china. We had our register of marriage in singapore. We decided to have a divorce can we do it here in china?  The reason is he cheated on me for so many times. Is it enough reasons for hve the custody of my 2 yr old son?,You can do so provided that either you or your husband:(a) views Singapore as your home at the time of the commencement of the proceedings
"Must I get a separation of 3 years before I can file for a divorce?  If divorce is mutually consensual, How do I prove that the marriage is irretrievably broken down?","You cannot apply for divorce within the first three years of marriage even if the divorce is consensual unless you can show that the case is one of exceptional hardship suffered by the plaintiff or of exceptional depravity on the part of the defendant. Once the three years have passed, you will need to prove to the Court one of the following (defendant and plaintiff refers to the spouses):(a) that the defendant has committed adultery and the plaintiff finds it intolerable to live with the defendant;(b) that the defendant has behaved in such a way that the plaintiff cannot reasonably be expected to live with the defendant;(c) that the defendant has deserted the plaintiff for a continuous period of at least 2 years immediately preceding the filing of the writ;(d) that the parties to the marriage have lived apart for a continuous period of at least 3 years immediately preceding the filing of the writ and the defendant consents to a judgment being granted;(e) that the parties to the marriage have lived apart for a continuous period of at least 4 years immediately preceding the filing of the writ."
Can telephone bill statement and recorded messages whereby the husband admitted or indicated that he has committed adultery be sufficient to file for divorce? ,"In order to file for divorce, you will need to show irreconcilable differences. The fact of adultery in itself is likely to be sufficient. The recorded messages should be sufficient."
Is the divorce mediation date arranged by the court or lawyers of the 2 parties? Can the court do anything about delay tactics like hospitalisation excuses to absent from hearing or mediation perpetually?,It is normally determined by the Court who will take into consideration the available dates of both parties and their lawyers. You can seek an appropriate order from the Court in such an event.
How to file for separation? Can it be done with both parties mutually agree without going to the lawyer?,"You may want to refer to this for the details:http://www.lawsociety.org.sg/forPublic/YoutheLaw/Divorce.aspxYou do not need a lawyer, but you and your spouse will have to file the relevant documents yourselves."
"two Chinese citizens which are singapore permanent got married at ROM in singapore, and divorced one  year later in a court in China. Do they need to do anything in singapore before they can remarry someone else in singapore?","On the assumption that the divorce in China is recognised in Singapore, then there is no need for them to do anything although ROM will normally ask for proof that the divorce has taken place. Bear in mind that it is an offence to be in a polygamous marriage in Singapore."
"my sister in law had filed divorce against my brother a year ago but we did not receive any court document regarding his case. My brother is in jail now, my sister cannot be contacted. can we as a family member approach any place to check ?","You may be able to do so at the Family Courts - they may require you to obtain your brother's authorisation, but you should check with the Family Courts first."
Can I get a divorce in Australia Courts even though we were married under Syariah court in SG. is it viewed legal in SG?,"Your ability to obtain a divorce in Australia depends on Australian law. Unfortunately, we are not qualified to offer you an opinion on that basis."
My wife and I are separated not divorced yet and she has insisted me and my parents can only see our  eight month old daughter in her parents home which is considered hostile to us. What legal aid can i sort to obtain access in a neutral location?,"Depending on your salary level, you may wish to consider applying to the Legal Aid Bureau - see http://www.lab.gov.sg/"
how long does it takes if i file the divorce myself without a lawyer?,"It depends on whether the divorce is contested. If it is uncontested, it may be resolved with 3-6 months."
Do I need a specific reason to get a divorce?,"You will be granted a divorce only if the Family Court agrees that you marriage has ended, or in legal terms,  ?irretrievably broken down? . To prove this you must prove that:-your spouse has committed adultery, and you find it intolerable to live with him or her-your spouse has behaved in such a way that you cannot reasonably be expected to live with him or her-your spouse has deserted you for at least two years-if your spouse agrees to the divorce, that you and your spouse have been separated for at least three years-if your spouse does not agree to the divorce, that you and your spouse have been separated for at least four years"
Do I need a lawyer to get divorced?,"No, you can apply for a divorce yourself, which is known in legal terms as  ?acting in person? . However, you will still need to comply with the legal and procedural requirements of the Family Court proceedings. For example, you must ensure that the necessary documents are prepared in the correct form and file these through the Electronic Filing System.The Family Court cannot give you any advice on what you should say or do. Only a qualified lawyer can give you independent legal advice on the merits of your case."
How do I apply for a divorce?,"You will need to file a Writ for Divorce, Statement of Claim and Statement of Particulars in the Family Court. You will need to pay the appropriate filing fees."
It's stated in the Order of Court that both parties retain our own assets. But he has already removed atleast one item. How do i retrieve my item back and also to prevent him from removing more items and for him not to damage the matrimonial home?,"As your ex-spouse has taken your property, you may sue him for the tort of conversion. You should demand the return of your item in writing. If he removes more items or damages the matrimonial home, he faces civil liability for conversion or trespass."
Order of Court obtained to my favor. We are to execute the transfer of matrimonial flat to me. My ex-spouse is not cooperative and unresponsive. She ceased communication and hide to the extent of not disclosing her correspondence address where she could b,"Assuming the court order stipulated a time frame within which the transfer is to be executed, then you could file for contempt of court against your ex-spouse for failing to comply with the order. If you wish to pursue this option, you must have compelling evidence that can prove beyond a reasonable doubt that your ex-spouse deliberately disobeyed the court order. For example, your ex-spouse must not have been incapacitated by illness throughout this period. The punishment for contempt of court can include a fine or imprisonment."
What are rights for wife regarding matrimony assets if they divorced who was married in Singapore?,"Your question relates to the division or sale (with the proceeds divided) of matrimonial assets, which are ancillary orders that are made after the dissolution of the marriage. The answer depends on a few factors. First, you should note that not all assets are matrimonial assets, and only matrimonial assets will be divided or sold. For example, assets purchased or improved during the marriage or the matrimonial home would constitute matrimonial assets.Second, the Court will take into account many factors in deciding the division of the matrimonial assets. These factors include the direct and indirect contributions by each party towards the matrimonial assets, the child? s or children? s needs and any agreement between the parties on the division of the matrimonial assets. Direct contributions are financial contributions, whereas indirect contributions are non-financial contributions such as looking after the children or the home."
"Hi, I am Indian. I got married with an Indian in Singapore in year 2009. Now we decided to divorce and applied in India. after divorced do we need to inform Singapore to cancel our marriage or do we need some legal procedure ? ","You may use the divorce order from the Indian court to have your marriage dissolved in Singapore. To do so, the foreign divorce order must be recognised in Singapore. The three ways for the recognition of the order may be found at the following link under the header of  ?Recognition of the foreign divorce order in Singapore? :https://singaporelegaladvice.com/law-articles/overseas-divorce"
Can I ask for a portion amounts from a sales for a HDB unit once I file for a divorce,"The division of matrimonial assets is settled as an ancillary matter after the filing for a divorce. After filing for a divorce, the court may grant an Interim Judgment to dissolve the marriage. Only then will the case move on to ancillary matters such as the division of matrimonial assets. Assuming that the HDB unit is a matrimonial asset, the sale proceeds would be reflected in the Affidavits of Assets and Means. Therefore, the proceeds would be divided during the hearings on ancillary matters.For more information on the division of matrimonial assets: https://singaporelegaladvice.com/law-articles/how-does-the-court-divide-matrimonial-assets-in-a-divorce/"
"My parents are getting a divorce and my dad want to sell the house. The house is under both parents name but my Mother did not pay a single cent since day 1. If the house is sold, will she be entitled to anything?","Potentially so, as the courts not just take into account the parties? direct financial contributions towards the asset in question, but also consider indirect contributions to the marriage that are both financial and non-financial in nature (e.g., the fact that one was a primary caregiver of the children)"
"If my husband has recently deserted the family taking most of the family wealth, and I do not know his whereabouts and is unable to contact him, what are my options for trying to get it back?","It would depend on what form of wealth you are referring to. If it was in some material form such as cash or physical possessions, your chances of recovering anything without first locating him are slim. If he took a card such as a debit card, you would need to check with the bank as to whether they are able to disable the card or reverse any charges. Apart from that, if you are unable to locate him, the most that can be done is likely just to file a police report."
"Hi, I've recently obtained sole ownership of my flat and have requested for my ex-hubby to move out. However, he refused. Can I obtain an eviction order to make him move out? He is not a registered occupier. How long does the process take? Thank you!",An eviction order would only be effective in a landlord-tenant situation. You may wish to bring an action against him for trespass.
"Whats the effect of HDB property when both applies for divorce? I heard, since the loan installment goes from husbands cpf, Wife has no right. True? How many percentage worth of the property s eligible for the wife?",The Court in determining the division of matrimonial property has the broad power to deal with the HDB flat and it is not bound by the strict contribution of the parties. It is not true that the wife has no rights to the property even if all payments were paid by the husband's CPF.
"If I single-handedly paid in full for my 4 rooms hdb flat and my husband did not contribute a penny towards household bills and raising my son. If we divorce, will he be awarded half share of my flat? Can my son and I continue to live in this flat after d","The division of assets during divorce is not based solely on financial contributions. The Court is entitled to consider non-financial contributions. If your husband did not contribute financially or non-financially, then he is unlikely to be awarded a half share. You will be allowed to stay in the flat if you are offered the right to purchase your husband's share and if you can form a family unit after divorce."
"Hi. If my ex spouse refuses to sign the hdb transfer form without monetary returns to his cpf, what can i do?","If this was a court-mandated order by the Family Justice Court, you may apply for an enforcement order at the Family Justice Court."
"I'm a divorcee, court has ordered to sell my house but my ex husband is not cooperating and wants to delay. As he and his mum still living in the house. After 6 months, still no news yet. What am I suppose to do now ?",You may wish to apply for an enforcement order at Family Justice Courts.
"We have the court of order issued after final judgment for the divorce. However, we'd like to vary one of the orders of the matrimonial flat. Can we process the application ourselves to the Court and what are the procedures? ",You can make a joint application to vary the maintenance. You would have to file a summons in Court.
